"","edo_dto","cand.morena","alianza.prianrd","PAN.solo","PRI.solo","PRD.solo","PVEM.solo","PT.solo","MC","PES","RSP","FXM","CI","total.votos","lista.nominal","v.validos","alianza.morena","alianza.oposic","prop.morena","gana.morena","gana.prianrd","gana.pan","gana.pri","gana.mc","gana.pvem","alianzas","participacion","postula_reelec","cand.morena18","pan.y.aliados18","pri.y.aliados18","PAN.solo18","PRI.solo18","PRD.solo18","PVEM.solo18","PT.solo18","MC.solo18","NA.solo18","PES.solo18","total.votos18","lista.nominal18","v.validos18","alianza.morena18","alianza.pan18","alianza.pri18","prop.morena18","gana.morena18","gana.pri.y.aliados18","gana.pan.y.aliados18","gana.pri.solo18","gana.pan.solo18","d.morena","gana18","gana21","cambio.morena"
"157","21.2",91073,81846,0,0,0,0,0,6443,3674,5369,8611,0,206514,297916,197016,1,1,0.462261948268161,1,0,0,0,0,0,"Ambas",0.69319539736033,0,58184,69316,0,0,61321,0,5466,0,0,6291,0,213730,NA,200578,1,1,0,0.290081663991066,0,0,1,0,0,0.172180284277095,"Alianza PAN","Morena","Obtiene"
"158","21.3",78607,64854,0,0,0,0,0,19506,8237,4087,9831,0,194498,302329,185122,1,1,0.424622681258846,1,0,0,0,0,0,"Ambas",0.643332263858247,0,75438,54563,0,0,43540,0,9525,0,0,8322,0,203862,286126,191388,1,1,0,0.39416264342592,1,0,0,0,0,0.0304600378329254,"Morena","Morena","Retiene"
"159","21.4",79623,69610,0,0,0,0,0,10119,9220,6413,5270,0,191621,288212,180255,1,1,0.441724224015977,1,0,0,0,0,0,"Ambas",0.664861282666926,1,87169,54578,0,0,44190,0,5537,0,0,3235,0,206693,270988,194709,1,1,0,0.447688601964984,1,0,0,0,0,-0.00596437794900628,"Morena","Morena","Retiene"
"160","21.5",75034,49565,0,0,0,0,0,12646,8392,6099,8339,0,167743,315026,160075,1,1,0.468742776823364,1,0,0,0,0,0,"Ambas",0.532473510122974,0,96250,40744,0,0,28437,0,8986,0,0,7555,0,191492,295720,181972,1,1,0,0.528927527311894,1,0,0,0,0,-0.0601847504885301,"Morena","Morena","Retiene"
"161","21.6",61972,49673,0,0,0,0,0,4217,1930,1472,3064,0,127030,319034,122328,1,1,0.506605192596952,1,0,0,0,0,0,"Ambas",0.398170727884802,1,104345,38717,0,0,26091,0,7301,0,0,2832,0,186152,NA,179286,1,1,0,0.582003056568834,1,0,0,0,0,-0.0753978639718816,"Morena","Morena","Retiene"
"162","21.7",84163,52470,0,0,0,0,0,10425,5515,7991,8169,0,177519,308443,168733,1,1,0.498793952575963,1,0,0,0,0,0,"Ambas",0.575532594352927,0,98513,50657,0,0,27498,0,8925,0,0,3837,0,198572,289617,189430,1,1,0,0.520049622551866,1,0,0,0,0,-0.0212556699759029,"Morena","Morena","Retiene"
"163","21.8",81612,73550,0,0,0,0,0,23793,4523,2592,6956,0,202428,290869,193026,1,1,0.422803145690218,1,0,0,0,0,0,"Ambas",0.69594215952886,0,64100,63104,0,0,39843,0,7788,0,0,13309,0,200155,NA,188144,1,1,0,0.340696487796581,1,0,0,0,0,0.0821066578936365,"Morena","Morena","Retiene"
"164","21.9",65674,74831,0,0,0,0,0,3796,1796,1416,2887,0,155506,339027,150400,1,1,0.436662234042553,0,1,0,0,0,0,"Ambas",0.458683231719008,0,106612,63369,0,0,16011,0,7761,0,0,2907,0,203583,NA,196660,1,1,0,0.542113291975999,1,0,0,0,0,-0.105451057933446,"Morena","VaXM","Pierde"
"165","22.1",31480,0,59436,33950,1562,9896,1448,2482,2355,3427,5884,0,158968,269449,151920,0,0,0.207214323328067,0,0,1,0,0,0,"Sin coals.",0.58997435507276,1,46541,60170,0,0,38459,0,6433,0,0,6256,0,168365,252531,157859,1,1,0,0.294826395707562,0,0,1,0,0,-0.0876120723794944,"Alianza PAN","PAN","Opositor"
"166","22.2",48353,0,61347,24919,2739,0,0,2989,3514,3977,4008,0,157105,306248,151846,1,0,0.318434466498953,0,0,1,0,0,0,"Sólo JHH",0.512999268566652,1,69357,53936,0,0,33458,0,14500,0,0,4174,0,184029,284047,175425,1,1,0,0.395365540829414,1,0,0,0,0,-0.0769310743304614,"Morena","PAN","Pierde"
